实习职位,实习薪资,工作地点,实习天数,实习月份
文案实习生,100-150/天,上海,3天/周,4个月
新媒体文案编辑,面议,广州,6天/周,11个月
SEO优化网络推广专员,150-200/天,上海,4天/周,10个月
平面设计实习生,100-150/天,成都,5天/周,4个月
运营/编辑实习生,100-120/天,北京,5天/周,6个月
产品经理助理,100-150/天,济南,5天/周,11个月
产品助理实习生,150-200/天,上海,5天/周,10个月
新媒体编辑,100-150/天,北京,4天/周,11个月
新媒体专员,100-150/天,广州,3天/周,4个月
客服实习生,150-200/天,深圳,5天/周,4个月
小红书运营（出镜方向）,250-300/天,成都,5天/周,4个月
运营部实习生,面议,北京,5天/周,4个月
新媒体运营实习生,100-150/天,上海,5天/周,9个月
视频拍摄制作实习生,100-120/天,上海,5天/周,9个月
编剧助理,50-100/天,成都,3天/周,12个月
德语实习生,100-150/天,北京,2天/周,4个月
新媒体管培生,100-150/天,北京,5天/周,4个月
微信/内容运营 实习,150-180/天,上海,5天/周,10个月
Arts & Gadgets creative editorial intern,100-150/天,广州,5天/周,6个月
Moutain Bird Crafts creative editorial intern,100-150/天,广州,3天/周,6个月
CURATED: editorial intern,100-150/天,广州,3天/周,6个月
CURATED: design intern,100-150/天,广州,3天/周,6个月
设计师,50-100/天,天津,6天/周,13个月
校招--插画师,150-200/天,北京,5天/周,4个月
美术设计,50-100/天,成都,5天/周,11个月
实习编辑/编导,100-150/天,成都,4天/周,12个月
新媒体运营,100-150/天,成都,5天/周,3个月
置业顾问实习生,300-400/天,北京,6天/周,6个月
Folio项目IT,100-150/天,广州,3天/周,6个月
直播审核,150-200/天,武汉,5天/周,12个月
CURATED:跨媒杂志编辑实习生,100-150/天,广州,3天/周,6个月
CURATED:跨媒杂志营销,100-150/天,广州,3天/周,6个月
PHP技术,130-170/天,上海,2天/周,10个月
销售运营实习生,100-150/天,北京,5天/周,8个月
战略运营实习生,150-200/天,北京,4天/周,4个月
内容研发实习生,100-150/天,上海,4天/周,5个月
营运助理,150-200/天,上海,3天/周,13个月
漫画插画手绘设计师,50-100/天,全国,4天/周,7个月
UI设计实习生,100-150/天,北京,4天/周,4个月
快手短视频审核,150-200/天,武汉,5天/周,12个月
音视频工程师（windows方向）,250-300/天,上海,3天/周,5个月
运营助理（实习生）,100-150/天,上海,4天/周,5个月
电商运营实习生,99-100/天,北京,3天/周,3个月
项目管理实习生（PS03）,200-250/天,上海,4天/周,7个月
设计实习生,50-100/天,广州,4天/周,10个月
实习生/导演/剪辑/创意,60-120/天,杭州,5天/周,4个月
DBS CoE 日语 Intern - 大连 - 2020年毕业,250-300/天,大连,3天/周,7个月
平面设计实习生,100-150/天,上海,3天/周,4个月
研发工程师,150-200/天,南京,5天/周,5个月
java实习生,100-150/天,北京,3天/周,7个月
Product Designer Intern,200-250/天,北京,4天/周,4个月
大数据数据采集专员,50-100/天,苏州,5天/周,5个月
标签运营实习生,50-100/天,广州,4天/周,5个月
JS/H5编程讲师,100-150/天,东莞,5天/周,3个月
通信信号处理,200-250/天,成都,5天/周,8个月
实习产品经理,100-150/天,北京,4天/周,4个月
产品运营实习生,200-250/天,北京,4天/周,10个月
运营实习生,150-200/天,北京,4天/周,4个月
java/python web后端开发实习生,100-150/天,杭州,5天/周,8个月
硬件测试实习生,100-150/天,北京,3天/周,6个月
人工智能知识库数据编辑,100-150/天,重庆,5天/周,10个月
IT项目助理,100-150/天,广州,3天/周,6个月
【2020届】视频运营实习生,100-150/天,广州,5天/周,12个月
微淘/文案实习生,50-100/天,广州,3天/周,4个月
ui设计师,150-200/天,北京,4天/周,4个月
蚂蚁金服19年研发类实习生-JAVA,面议,"上海,杭州,成都,深圳",5天/周,4个月
智能硬件测试,150-200/天,北京,4天/周,5个月
搞笑短视频拍摄,80-150/天,南宁,6天/周,17个月
IOS开发实习生,150-200/天,杭州,5天/周,4个月
公益频道实习生,100-150/天,北京,5天/周,4个月
项目运营&市场 实习生,100-150/天,北京,4天/周,7个月
C++游戏工程师,200-250/天,成都,5天/周,6个月
酒店平台运营专员,150-200/天,苏州,5天/周,8个月
有声小说运营实习生,100-150/天,重庆,5天/周,4个月
有声小说运营实习生,100-150/天,重庆,5天/周,4个月
新媒体文案实习生,100-150/天,北京,5天/周,6个月
iOS实习生—抖音,300-400/天,上海,3天/周,10个月
舞美设计实习生,150-200/天,广州,4天/周,4个月
前端实习生,50-100/天,重庆,5天/周,10个月
运营督导专员,面议,深圳,5天/周,4个月
音频编辑实习生,50-100/天,广州,5天/周,11个月
Python编程讲师,100-150/天,佛山,5天/周,4个月
政府关系实习生,100-150/天,上海,3天/周,3个月
英文实习生,150-200/天,上海,4天/周,7个月
调研专员,100-200/天,上海,5天/周,17个月
用户运营实习生,100-150/天,广州,4天/周,4个月
产品策划（实习生/应届生）,100-150/天,上海,5天/周,7个月
测试实习生,100-150/天,上海,5天/周,11个月
集团IOT业务组实习生,面议,北京,4天/周,4个月
人工智能航天测控应用研究,200-250/天,成都,5天/周,8个月
软件测试实习生,100-150/天,上海,5天/周,7个月
见习功能测试工程师,100-150/天,北京,4天/周,8个月
平面设计实习生,100-150/天,广州,4天/周,4个月
新媒体运营实习生,100-150/天,北京,5天/周,1个月
有道乐读插画实习生,100-150/天,杭州,5天/周,4个月
前端web开发实习生,250-300/天,北京,5天/周,4个月
FIS innovation Intern(内饰创新研发部实习生),150-200/天,上海,3天/周,4个月
内容运营实习,150-200/天,上海,3天/周,5个月
CV图像处理算法实习生-OCR方向,250-300/天,北京,4天/周,5个月
2019暑期项目实习生,150-200/天,上海,4天/周,3个月
新媒体运营,100-150/天,上海,4天/周,7个月
web前端工程师,面议,成都,5天/周,7个月
天猫店/淘宝店客服专员,100-150/天,北京,5天/周,4个月
机械工艺师,100-150/天,天津,5天/周,4个月
搜狗网页搜索质量评估 (MJ002904),1-2/天,北京,4天/周,4个月
产品经理助理,360-450/天,广州,5天/周,4个月
机械工程实习生-NDT（GE通用）,100-150/天,上海,3天/周,7个月
销售实习生,面议,济南,5天/周,4个月
财经新媒体实习生,80-100/天,广州,3天/周,3个月
云应用-软件开发,250-300/天,北京,5天/周,10个月
SRE运维工程师岗位,250-300/天,杭州,5天/周,4个月
产品运营实习生,100-150/天,北京,2天/周,4个月
短视频拍摄助理,100-150/天,上海,3天/周,7个月
CURATED:跨媒杂志设计实习生,100-150/天,广州,3天/周,6个月
2020届实习生项目—测试工程师（建筑相关专业）,150-200/天,"北京,上海,西安",5天/周,2个月
Java开发实习生,200-250/天,上海,4天/周,7个月
【校招】服务器端开发,200-250/天,北京,4天/周,4个月
PHP开发工程师,100-150/天,北京,1天/周,4个月
用户研究实习生,150-200/天,北京,4天/周,4个月
新媒体运营实习生,100-150/天,广州,3天/周,4个月
汽车数据实习生,100-150/天,上海,5天/周,4个月
设计实习生,80-150/天,北京,4天/周,3个月
“再解构”展览项目设计实习生,100-150/天,广州,3天/周,6个月
网络安全初级工程师（实习生）,50-100/天,福州,5天/周,6个月
产品运营实习生,150-200/天,上海,5天/周,10个月
前端实习生,200-250/天,杭州,5天/周,4个月
设计实习生,150-200/天,深圳,4天/周,6个月
测试工程师（校招）,270-360/天,广州,5天/周,4个月
软件测试实习生,100-150/天,北京,5天/周,4个月
在线客服实习生,200-250/天,上海,5天/周,7个月
新媒体运营实习,150-200/天,北京,1天/周,4个月
旅游数据标注实习生,150-200/天,北京,4天/周,4个月
平面设计实习生,150-200/天,上海,3天/周,4个月
Software Intern,200-250/天,北京,4天/周,7个月
系统实施顾问,150-200/天,北京,5天/周,7个月
内容运营专员,250-300/天,深圳,5天/周,3个月
新媒体运营,150-300/天,北京,5天/周,9个月
社群运营编辑实习生,100-120/天,北京,5天/周,3个月
海外运营实习（英语阿拉伯语日语）,100-150/天,深圳,4天/周,3个月
电商运营/外贸助理,100-120/天,深圳,5天/周,9个月
货品/商品助理,120-140/天,上海,5天/周,8个月
信号处理实习生,300-400/天,北京,4天/周,8个月
设计实习生,100-150/天,上海,4天/周,4个月
电商运营实习生,100-150/天,北京,5天/周,7个月
西班牙语游戏运营,100-150/天,北京,4天/周,4个月
手绘实习生,100-150/天,上海,4天/周,4个月
内容运营,100-150/天,深圳,5天/周,10个月
技能培训生-2019应届毕业生,100-150/天,成都,5天/周,4个月
Java实习生,100-150/天,北京,5天/周,6个月
产品运营,150-200/天,广州,5天/周,6个月
文案策划实习生,100-150/天,北京,4天/周,7个月
社区运营实习生,100-120/天,北京,4天/周,3个月
新媒体运营（2020届实习生）,100-150/天,南京,3天/周,4个月
跨境电商运营实习生,100-150/天,广州,3天/周,4个月
2020届Java开发校招生（医疗健康）,200-250/天,"北京,杭州",4天/周,4个月
校园大使,200-250/天,成都,1天/周,4个月
包装设计师,100-150/天,宁波,5天/周,11个月
数据挖掘工程师（自然语言）,100-150/天,上海,3天/周,10个月
软件开发日常实习生,100-150/天,成都,3天/周,7个月
平面设计师,100-150/天,南宁,5天/周,4个月
优信新车管培生（新车金融业务）,150-200/天,北京,5天/周,8个月
产品经理助理,100-150/天,重庆,4天/周,13个月
软件测试实习生,100-150/天,西安,5天/周,4个月
2020届实习生项目—用户体验设计师,150-200/天,"北京,上海,西安",5天/周,2个月
IT实习生（广州）,100-150/天,广州,4天/周,5个月
研发管理实习生,100-150/天,北京,3天/周,5个月
管理培训生（运营方向）,1-2/天,杭州,5天/周,7个月
见习QA（质量保证工程师）,100-150/天,北京,4天/周,8个月
创新工场人工智能工程院体验设计实习生,100-150/天,北京,4天/周,5个月
Android开发实习生,100-150/天,杭州,5天/周,5个月
NLP算法实习生,250-300/天,广州,4天/周,4个月
NLP算法实习生-信息抽取方向,250-300/天,北京,4天/周,5个月
运营实习生,100-150/天,南京,4天/周,7个月
游戏社区运营,150-200/天,上海,4天/周,5个月
软件实习生,100-150/天,苏州,4天/周,6个月
电机研发实习生(SH),100-150/天,上海,3天/周,5个月
游戏剧情策划（2020届及以后）,150-200/天,北京,5天/周,10个月
产品实习生,150-200/天,北京,3天/周,10个月
设计实习生,100-150/天,上海,3天/周,10个月
数据分析（Python）实习生,150-200/天,常州,4天/周,4个月
Design Intern,50-100/天,上海,3天/周,4个月
爬虫工程师,300-400/天,上海,3天/周,4个月
会计税收审计专业电子书编辑,100-150/天,北京,1天/周,4个月
数据标记实习生,100-150/天,南京,4天/周,10个月
深度学习嵌入式平台优化工程师实习生,300-400/天,北京,5天/周,7个月
标定工程师实习生,100-150/天,上海,3天/周,7个月
平面设计师（实习）,200-250/天,深圳,5天/周,10个月
Java后台开发工程师,200-250/天,北京,3天/周,3个月
微电子背景互联网产品实习生,200-400/天,北京,5天/周,12个月
运营实习生,150-200/天,北京,5天/周,2个月
大数据开发工程师,150-200/天,南京,5天/周,4个月
Java开发实习生（成都）,100-150/天,成都,4天/周,7个月
新媒体运营实习生,80-100/天,宁波,5天/周,6个月
3D美术实习生,150-200/天,北京,4天/周,4个月
用户体验实习生,100-150/天,上海,3天/周,5个月
插画师实习生,120-130/天,杭州,3天/周,4个月
新媒体实习生,100-150/天,上海,3天/周,6个月
开发工程师,300-400/天,上海,3天/周,12个月
活动运营实习生（电影书籍）,50-100/天,广州,5天/周,4个月
SEO/新媒体运营/内容运营,100-150/天,成都,5天/周,6个月
创新工场AI工程院医疗Lab-三维视觉算法实习生,200-250/天,北京,3天/周,4个月
WEB前端实习生,200-250/天,北京,3天/周,7个月
前端实习生,100-150/天,北京,5天/周,5个月
产品助理/初级产品经理,300-400/天,北京,5天/周,4个月
工业设计,100-150/天,上海,1天/周,10个月
校园运营实习生,150-200/天,北京,4天/周,4个月
品类内容运营实习生,100-150/天,北京,5天/周,5个月
新闻学传播学专业电子书编辑实习,100-150/天,北京,1天/周,4个月
网页设计实习生,100-150/天,上海,3天/周,4个月
设计实习生,150-200/天,上海,5天/周,4个月
运营实习生,150-200/天,杭州,5天/周,6个月
Java开发实习生,100-150/天,北京,3天/周,8个月
销售运营,100-150/天,上海,4天/周,7个月
视频剪辑实习生,150-200/天,北京,4天/周,4个月
实习编辑（文案方向）,50-100/天,重庆,5天/周,4个月
爬虫开发实习生,300-400/天,上海,3天/周,4个月
数据监控分析与营销触点运营（移）,150-200/天,广州,5天/周,8个月
C/C++语言辅导老师,100-150/天,深圳,5天/周,4个月
电商实习生,100-151/天,上海,5天/周,5个月
【2020届】数据助理实习生,100-150/天,广州,5天/周,12个月
移动互联网开发实习生,50-100/天,上海,5天/周,6个月
科学类课程助理老师,100-150/天,上海,5天/周,12个月
广告设计师,100-150/天,南宁,5天/周,4个月
内容编辑实习生,120-200/天,上海,5天/周,12个月
喜配音运营实习生,100-150/天,上海,3天/周,4个月
运营实习生,100-150/天,广州,4天/周,4个月
软件实施实习生（上海）,100-150/天,上海,5天/周,12个月
广播/电视资料编目实习生,70-100/天,上海,3天/周,8个月
游戏测评实习生-杭州,100-150/天,杭州,4天/周,5个月
产品实习生,100-150/天,北京,4天/周,10个月
室内设计助理,100-150/天,深圳,5天/周,13个月
数据采集专员,100-150/天,上海,3天/周,6个月
麻将类节目运营,120-121/天,上海,5天/周,6个月
用户运营实习生,150-200/天,北京,3天/周,5个月
C/C++ 软件开发,100-150/天,宁波,5天/周,17个月
招聘实习生,150-200/天,上海,4天/周,3个月
新媒体助理,120-150/天,上海,3天/周,3个月
数据分析师,150-200/天,苏州,3天/周,4个月
项目开发实习生,50-100/天,广州,5天/周,13个月
自动化测试实习生,200-250/天,北京,3天/周,5个月
新媒体运营实习生,100-150/天,北京,4天/周,5个月
运营专员实习生,100-150/天,成都,4天/周,4个月
Java工程师实习生,150-200/天,北京,5天/周,12个月
数据分析,100-150/天,北京,5天/周,4个月
财经文员,100-150/天,武汉,5天/周,12个月
数据标注实习生,100-150/天,广州,5天/周,5个月
设计实习生,100-150/天,深圳,5天/周,4个月
视频/动画制作实习生,50-100/天,深圳,3天/周,12个月
信息化工程师（开发）,100-150/天,天津,5天/周,4个月
软测实习生（2020年毕业）,100-150/天,大连,5天/周,8个月
门店代表/储备店长,1-2/天,南京,5天/周,12个月
IOS开发工程师,100-150/天,广州,3天/周,4个月
视频产品助理,150-200/天,北京,4天/周,11个月
IT服务台中文一线技术支持工程师实习,面议,上海,5天/周,7个月
内容运营（西班牙语）,150-200/天,广州,3天/周,4个月
门店代表,面议,常州,5天/周,13个月
文案实习生,200-250/天,北京,4天/周,4个月
医学类专业电子教材编辑,100-150/天,北京,1天/周,4个月
技术支持顾问,100-150/天,深圳,5天/周,7个月
JS/H5编程讲师,100-150/天,佛山,5天/周,4个月
大咖专访号运营助理,100-150/天,北京,3天/周,7个月
培训实习生（设计方面）,100-150/天,上海,4天/周,4个月
产品运营实习生-标注/审核方向,150-200/天,北京,4天/周,4个月
文案实习生,150-200/天,北京,3天/周,8个月
java实习生,100-150/天,广州,5天/周,7个月
网站美工/seo优化实习生,70-120/天,郑州,3天/周,5个月
运营分析,150-200/天,广州,5天/周,6个月
软件测试实习生（标注实习生）,100-150/天,西安,5天/周,4个月
用户运营实习生,100-150/天,上海,4天/周,7个月
3D建模实习生,100-150/天,北京,5天/周,4个月
培训项目管理实习生,100-150/天,北京,3天/周,4个月
测试实习生,面议,北京,4天/周,8个月
短视频内容运营实习生,200-250/天,北京,4天/周,4个月
见习配置管理工程师,100-150/天,北京,4天/周,8个月
产品助理,100-150/天,深圳,5天/周,4个月
实习编辑,100-150/天,大连,5天/周,4个月
运维实习生,100-150/天,北京,4天/周,7个月
PHP开发实习生,150-200/天,北京,5天/周,6个月
营销策略产品实习生,150-200/天,北京,5天/周,5个月
web前端开发工程师,150-200/天,沈阳,5天/周,3个月
E-Platform Testing Intern,150-200/天,上海,3天/周,3个月
linux运维工程师,150-200/天,西安,4天/周,4个月
软件开发测试实习生,100-150/天,北京,5天/周,4个月
天猫设计实习生,150-200/天,上海,4天/周,6个月
测试实习生,400-500/天,北京,4天/周,5个月
插画助理,150-200/天,北京,5天/周,6个月
H5前端实习生,100-200/天,广州,5天/周,11个月
Marketing VP Office Assistant Intern,100-150/天,上海,3天/周,6个月
百度视频-广告运营实习生,100-150/天,北京,5天/周,6个月
室外自主导航机器人-机电工程实习生,130-180/天,东莞,5天/周,5个月
产品运营助理,150-200/天,上海,4天/周,6个月
IT实习生,面议,上海,3天/周,8个月
电话售后,300-400/天,全国,5天/周,4个月
运营策划实习生,150-200/天,北京,4天/周,4个月
运筹优化算法实习生,200-250/天,上海,4天/周,7个月
LINE软件测试(日语),100-150/天,大连,5天/周,4个月
用户运营实习生-S0263,100-150/天,北京,5天/周,6个月
新媒体实习生,75-80/天,广州,3天/周,3个月
英语听口产品-教研实习生,110-120/天,北京,4天/周,3个月
产品助理,150-200/天,上海,4天/周,6个月
审核实习生,100-150/天,"西安,北京",5天/周,3个月
运营实习生,100-150/天,北京,4天/周,4个月
技术支持,100-150/天,成都,5天/周,6个月
新媒体电商运营,100-150/天,广州,5天/周,4个月
实习美工,150-200/天,深圳,5天/周,5个月
设计师,50-100/天,广州,5天/周,4个月
软件开发实习生,250-300/天,北京,5天/周,6个月
前端开发工程师,200-250/天,广州,4天/周,4个月
编辑实习生,50-100/天,北京,5天/周,4个月
运营助理,150-200/天,上海,4天/周,6个月
测试实习生,200-250/天,北京,4天/周,8个月
微信运营,100-150/天,武汉,4天/周,7个月
software developer,300-400/天,上海,3天/周,5个月
运营实习生（直播课程）,100-150/天,广州,4天/周,4个月
项目助理（实习生）,100-150/天,北京,3天/周,4个月
社区运营实习生,100-150/天,上海,3天/周,12个月
java工程师实习生,150-200/天,济南,5天/周,3个月
品牌公关部实习生,100-150/天,杭州,4天/周,4个月
用户运营实习生,80-120/天,成都,5天/周,12个月
手机游戏测试工程师,170-210/天,武汉,5天/周,5个月
海外运营实习生（日语）,50-100/天,广州,3天/周,4个月
APP开发工程师,100-150/天,"杭州,合肥,西宁",5天/周,7个月
网易公开课内容运营,50-100/天,北京,5天/周,4个月
市场实习生,70-100/天,北京,5天/周,3个月
PHP开发工程师,80-100/天,上海,3天/周,15个月
ASP.NET开发工程师,100-150/天,武汉,5天/周,7个月
税务科技产品经理实习生,100-150/天,上海,4天/周,4个月
产品运营推广实习生,50-100/天,长沙,4天/周,8个月
SEO编辑实习生,150-200/天,深圳,3天/周,4个月
英格索兰-产品项目实习生,100-150/天,上海,2天/周,3个月
校园营销策划,100-150/天,上海,4天/周,4个月
游戏关卡策划（2020届及以后）,150-200/天,北京,5天/周,10个月
爬虫工程师实习生数据采集,200-250/天,北京,4天/周,5个月
数据运营实习生,300-400/天,北京,4天/周,4个月
建筑结构编辑实习,100-150/天,北京,2天/周,4个月
新媒体运营实习生,100-120/天,北京,4天/周,3个月
游戏特效设计师(友塔游戏2019校招）,150-200/天,上海,5天/周,2个月
网站编辑运营实习生,100-150/天,常州,4天/周,4个月
Web前端开发(实习),50-100/天,武汉,5天/周,6个月
Java研发实习生,200-250/天,杭州,4天/周,6个月
软件开发工程师（2019届）,150-200/天,上海,4天/周,4个月
法学社会学新闻学专业电子书编辑,100-150/天,北京,1天/周,4个月
IT实习生,100-150/天,上海,3天/周,5个月
影业-发行运营实习生,150-200/天,北京,5天/周,4个月
新媒体运营,100-150/天,成都,5天/周,4个月
测试实习生,150-200/天,上海,5天/周,10个月
运营实习生,100-150/天,成都,4天/周,4个月
测试工程师,200-250/天,上海,5天/周,4个月
平面设计师,面议,成都,5天/周,4个月
产品运营助理,100-150/天,北京,4天/周,4个月
Android开发实习生,100-150/天,广州,5天/周,7个月
前端实习生,200-250/天,上海,3天/周,12个月
SEO实习生,150-300/天,苏州,5天/周,3个月
配置管理工程师,100-150/天,北京,5天/周,8个月
文案编辑实习生,50-100/天,厦门,3天/周,5个月
修图实习生,100-150/天,广州,4天/周,4个月
Folio creative journalist intern,100-150/天,广州,5天/周,6个月
文案写手,100-150/天,上海,2天/周,5个月
教研产品实习生,100-150/天,上海,3天/周,4个月
服装平面设计实习生,150-200/天,北京,4天/周,7个月
网易云音乐-视频内容运营实习生,面议,北京,3天/周,3个月
运营实习生（时尚营销方向）,120-130/天,北京,4天/周,6个月
.net程序员,150-200/天,上海,5天/周,4个月
品牌实习生,200-250/天,北京,3天/周,4个月
新媒体内容实习生,100-150/天,上海,3天/周,4个月
在线教育课程产品运营实习生,150-200/天,北京,4天/周,4个月
内容运营实习生,100-150/天,广州,4天/周,4个月
用户增长产品实习生,100-150/天,深圳,5天/周,6个月
法学类电子教材编辑,100-150/天,北京,1天/周,4个月
C# 开发助理,150-200/天,上海,3天/周,6个月
UI实习生,150-200/天,杭州,3天/周,10个月
设计工程师,100-150/天,上海,5天/周,5个月
新媒体编辑实习生,150-200/天,北京,5天/周,4个月
平面设计实习生,50-100/天,北京,4天/周,4个月
软件开发工程师,100-150/天,上海,4天/周,4个月
后期制作,面议,成都,5天/周,5个月
软件开发实习生,100-150/天,苏州,5天/周,7个月
数据抓取实习生,250-300/天,北京,3天/周,7个月
软件安装,120-140/天,北京,4天/周,3个月
百度云计算客服实习生,100-150/天,北京,5天/周,9个月
UI实习生（20年毕业）,面议,北京,5天/周,4个月
新媒体运营,200-250/天,北京,4天/周,4个月
审核实习生,100-150/天,广州,5天/周,9个月
新媒体运营实习生-消费者事业群-合肥,50-100/天,合肥,4天/周,4个月
汽车内容推送实习生,面议,北京,5天/周,4个月
法语网站运营,100-150/天,成都,5天/周,12个月
测试岗位实习生,100-150/天,成都,4天/周,5个月
项目助理实习生,100-150/天,北京,5天/周,7个月
美术实习生,150-200/天,广州,4天/周,4个月
运营管理实习生-S0253,100-150/天,北京,5天/周,6个月
电子商务/商城运营,150-200/天,北京,5天/周,8个月
小猿搜题内容运营质量组,100-150/天,武汉,3天/周,4个月
网络推广专员/助理,100-150/天,广州,5天/周,6个月
产品数据运营实习生,面议,北京,4天/周,5个月
推广部数据分析,200-250/天,宁波,5天/周,8个月
QA测试工程师,150-200/天,北京,4天/周,4个月
英语老师/英语编辑实习生,100-150/天,常州,4天/周,4个月
印刷排版/制版,100-200/天,北京,6天/周,6个月
文案,100-110/天,广州,5天/周,4个月
运营助理,120-150/天,上海,5天/周,11个月
医美商户运营,面议,上海,4天/周,7个月
新媒体专员/文案编辑,200-250/天,深圳,3天/周,4个月
Java开发工程师,100-150/天,西安,5天/周,4个月
python爬虫与数据分析工程师,150-200/天,北京,4天/周,6个月
软件开发实习生,200-250/天,北京,5天/周,8个月
综合设计助理,100-150/天,上海,5天/周,12个月
版图设计-Layout intern-2019应届生,200-250/天,上海,3天/周,3个月
游戏UI学习实训,1-2/天,北京,5天/周,4个月
理工类电子书编辑实习生,100-150/天,武汉,2天/周,3个月
法学哲学类电子书编辑实习,100-150/天,北京,1天/周,4个月
人工智能产品用户研究助理,100-150/天,北京,4天/周,4个月
数据新闻产品研究助理,50-100/天,北京,4天/周,7个月
软件测试工程师（校招）,100-120/天,广州,4天/周,3个月
网络推广（实习生）,1-50/天,成都,5天/周,4个月
嵌入式软件实习生-深圳,100-150/天,深圳,3天/周,4个月
招聘专员,100-150/天,北京,5天/周,4个月
软件测试工程师,150-200/天,杭州,6天/周,10个月
数据采集实习生,100-120/天,上海,3天/周,3个月
系统集成工程师（实习生）,100-150/天,福州,5天/周,9个月
2019校招|Asp.Net 技术支持工程师实习生,100-150/天,无锡,5天/周,4个月
设计实习生,160-200/天,北京,4天/周,3个月
.net开发/.net程序员,100-200/天,上海,5天/周,3个月
网页设计/美工,150-200/天,大连,5天/周,11个月
大数据研究实习生,130-140/天,上海,4天/周,3个月
算法工程师实习生,300-400/天,上海,5天/周,10个月
Systems Administration Specialist,150-200/天,上海,3天/周,4个月
英语教师/英语编辑实习生,100-150/天,常州,4天/周,4个月
电子商务专员,100-150/天,重庆,5天/周,4个月
功能测试实习生,100-150/天,成都,5天/周,6个月
产品运营助理,150-200/天,上海,3天/周,4个月
软件开发实习生,200-250/天,北京,3天/周,5个月
游戏界面动效设计实习生,100-150/天,上海,4天/周,7个月
软件开发实习生（Java、web、UI）,100-150/天,福州,4天/周,3个月
ERP实施管培生,100-150/天,深圳,3天/周,4个月
抖音运营助理,100-150/天,成都,5天/周,4个月
新媒体实习生,100-150/天,北京,6天/周,11个月
百度视频-版权内容运营实习生,100-150/天,北京,5天/周,6个月
Web应用开发实习生,150-200/天,北京,3天/周,12个月
测试实习生,150-200/天,杭州,5天/周,15个月
java开发实习,110-120/天,杭州,5天/周,8个月
安全测试实习生（2020届实习）,100-150/天,南京,3天/周,4个月
运营策划,50-100/天,福州,5天/周,10个月
设计专业实习生,100-150/天,广州,5天/周,15个月
Summer Intern_Software Dev Engineer (Shenzhen) -JAVA/Big Data,250-300/天,深圳,4天/周,9个月
平面设计实习生,100-150/天,广州,3天/周,10个月
产品运营实习生,100-150/天,南京,5天/周,3个月
用户运营经理助理,200-250/天,北京,3天/周,4个月
数据分析（Python）实习生（常州）,150-200/天,常州,4天/周,4个月
运营助理实习生,150-200/天,北京,5天/周,4个月
游戏运营,100-150/天,广州,5天/周,4个月
测试实习生,100-150/天,北京,4天/周,7个月
网络实习生,100-150/天,北京,4天/周,5个月
海外社区运营专员（实习）,200-250/天,上海,4天/周,12个月
美术设计实习生,100-150/天,北京,5天/周,7个月
新媒体实习生,100-150/天,北京,4天/周,7个月
俄语游戏运营实习生,150-165/天,北京,4天/周,6个月
影视剪辑实习生,1-50/天,北京,5天/周,4个月
视频制作实习生,100-150/天,上海,3天/周,4个月
客服实习生,300-400/天,全国,5天/周,4个月
前端开发实习生,150-200/天,北京,3天/周,5个月
视频运营实习生,1-50/天,广州,3天/周,3个月
前端开发实习生,150-200/天,杭州,5天/周,3个月
全球制造营运部项目管理专员（深圳）,面议,深圳,3天/周,4个月
C开发实习生,50-60/天,武汉,4天/周,5个月
SW intern,100-150/天,上海,3天/周,4个月
IT应用和基础设施运营工程师实习生,150-200/天,北京,4天/周,7个月
产品实习生,50-100/天,深圳,5天/周,6个月
UI设计实习生,150-200/天,深圳,4天/周,4个月
短视频运营实习生,100-150/天,北京,5天/周,10个月
2019-研发工程师C/C++实习生,面议,"杭州,上海",5天/周,7个月
机器人开发实习生-机械设计方向,80-120/天,深圳,5天/周,17个月
自媒体信息审核,100-150/天,西安,5天/周,4个月
产业分析师,面议,北京,5天/周,4个月
后期实习,100-150/天,上海,3天/周,4个月
内容审核管理,100-150/天,上海,3天/周,8个月
机器学习算法实习生,150-200/天,苏州,3天/周,12个月
交互设计师,100-150/天,南宁,5天/周,4个月
Java开发实习生,100-150/天,武汉,5天/周,4个月
Web开发实习生 (MJ001403),面议,广州,4天/周,4个月
产品运营实习生,100-150/天,上海,3天/周,5个月
产品经理助理 - 用户产品,250-300/天,北京,5天/周,10个月
UI实习生,100-150/天,长沙,5天/周,6个月
运营实习生（一件电商） (MJ001710),面议,广州,4天/周,4个月
摄影美工实习生,80-100/天,成都,5天/周,8个月
软件工程师Cuda实习生,250-300/天,上海,3天/周,6个月
信息审核实习生,1-2/天,承德,5天/周,4个月
实习设计师,150-200/天,合肥,6天/周,9个月
信息审核员,100-150/天,成都,5天/周,10个月
线上新媒体创意实习生,100-150/天,全国,5天/周,4个月
商家运营实习生,面议,杭州,5天/周,4个月
视频助理实习生,50-100/天,广州,4天/周,6个月
java开发实习生,100-150/天,广州,3天/周,7个月
展示场景设计师,150-200/天,上海,3天/周,10个月
产品经理助理（游戏方向）,100-150/天,北京,5天/周,4个月
新媒体商务BD,100-150/天,武汉,5天/周,11个月
C++实习生（偏视频内容）,200-250/天,深圳,4天/周,4个月
海外新媒体运营{英语},100-150/天,北京,5天/周,4个月
设计助理,150-200/天,北京,5天/周,5个月
门店代表/储备店长,1-2/天,无锡,5天/周,12个月
技术宣传实习生 (MJ000193),100-150/天,上海,3天/周,8个月
运营实习生/编辑实习生,150-200/天,北京,4天/周,6个月
